age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
22,6,3377,5,12,2,0,1,4,1,27,0,39,38,0
33,5,3698,5,12,0,3,0,4,1,0,0,12,38,0
21,3,17968,2,8,1,5,1,4,1,0,0,39,38,0
36,3,19585,4,6,0,5,0,2,1,0,0,39,38,0
11,3,24894,5,12,0,9,5,2,0,0,0,39,4,0
20,3,22690,1,13,0,3,5,4,0,0,0,39,38,0
32,3,10944,4,4,1,7,1,2,0,0,0,15,22,0
35,5,17376,2,8,0,3,0,4,1,0,0,44,38,1
14,3,1635,1,13,2,9,1,4,0,108,0,49,38,1
25,3,10851,5,12,0,3,0,4,1,81,0,39,38,1
20,3,22485,3,9,0,3,0,2,1,0,0,78,38,1
13,6,9066,5,12,0,9,0,1,1,0,0,39,18,1
6,3,7357,5,12,2,0,3,4,0,0,0,29,38,0
15,3,16878,3,11,2,11,1,2,1,0,0,49,38,0
23,3,7300,3,10,0,2,0,1,1,0,0,39,38,1
17,3,20409,4,3,0,13,0,0,1,0,0,44,25,0
8,5,13025,2,8,2,4,3,4,1,0,0,34,38,0
15,3,14424,2,8,2,6,4,4,1,0,0,39,38,0
21,3,382,4,6,0,11,0,4,1,0,0,49,38,0
26,5,23056,1,13,1,3,4,4,0,0,0,44,38,1
23,3,15385,0,15,0,9,0,4,1,0,0,59,38,1
37,3,23489,2,8,1,7,4,2,0,0,0,19,38,0
18,0,3334,4,4,0,4,0,2,1,0,0,39,38,0
26,3,6784,4,6,0,13,0,4,1,0,59,39,38,0
42,3,5889,2,8,1,12,4,4,0,0,0,39,38,0
39,1,18092,5,12,0,12,0,4,1,0,0,39,38,1
2,3,11884,2,8,2,2,3,4,1,0,0,39,38,0
37,3,13492,3,9,0,9,0,1,1,0,0,59,34,1
22,3,25826,2,8,1,3,1,4,1,0,0,78,38,0
32,3,15367,2,8,0,2,0,4,1,0,0,39,38,0
6,1,14985,3,11,2,10,1,4,1,0,0,51,38,0
3,3,21654,3,9,2,11,3,2,1,0,0,43,38,0
28,3,26282,5,12,1,3,3,4,1,0,15,39,38,0
13,0,2514,3,9,0,0,3,4,1,0,0,39,38,0
5,6,23889,3,9,0,7,0,2,1,0,0,14,38,0
31,3,20170,4,6,2,6,4,4,1,0,0,39,32,0
4,3,15865,3,9,2,6,3,4,1,0,0,39,38,0
2,3,27637,2,8,0,0,5,4,0,0,0,24,38,0
14,3,3758,3,9,0,11,0,4,1,0,0,37,38,1
31,5,21628,3,11,0,9,0,4,1,0,0,39,38,0
14,3,27528,4,4,0,6,0,4,1,0,0,42,38,0
36,5,4017,5,12,0,9,0,4,1,0,0,39,38,0
7,3,12470,5,12,0,12,0,4,1,0,0,49,38,0
32,3,4439,2,8,1,0,4,4,0,0,0,39,38,0
8,3,22958,2,8,2,5,1,4,1,0,0,34,38,0
40,0,24869,5,12,0,9,0,2,1,0,0,39,38,1
36,3,9395,2,8,0,6,0,4,1,0,0,37,38,0
27,3,7916,1,13,1,3,4,4,0,0,0,39,38,0
24,6,5094,3,10,0,2,0,4,1,0,0,39,38,0
12,3,21994,3,10,2,9,1,4,1,0,0,42,38,0
8,3,681,3,9,0,3,5,3,0,0,0,39,38,0
1,3,18949,2,8,2,7,3,4,0,0,0,29,38,0
30,3,2022,3,14,0,9,5,4,0,0,51,59,15,1
33,0,20793,5,12,1,3,1,4,1,0,0,54,38,1
30,4,5975,2,8,1,3,1,4,1,0,0,59,38,0
26,3,19854,3,9,0,12,0,4,1,0,0,39,38,1
29,3,18070,4,2,0,6,0,4,1,0,0,39,25,0
18,3,2329,3,10,0,7,0,4,1,0,0,39,32,0
24,3,9673,2,8,0,0,0,4,1,0,0,47,38,0
13,3,14628,2,8,0,6,0,4,1,79,0,39,38,0
13,3,2496,5,12,0,11,0,4,1,36,0,39,38,0
15,3,23142,4,3,1,9,1,4,1,0,0,39,38,0
31,3,9887,2,8,0,13,0,4,1,0,0,39,38,0
25,3,6734,0,15,0,9,0,4,1,0,0,44,38,1
12,3,5512,3,9,1,12,1,4,1,0,0,57,38,0
19,3,10468,2,8,0,2,0,4,1,0,0,39,38,0
11,3,13920,3,9,1,0,1,4,0,0,0,39,38,0
36,3,12069,2,8,0,0,5,4,0,0,0,39,38,1
32,4,15119,3,9,0,3,0,4,1,0,0,49,38,1
8,3,16360,3,9,2,9,3,4,1,0,0,39,38,0
2,3,5078,3,9,2,9,3,4,1,0,0,31,38,0
14,3,23829,5,12,1,11,3,2,0,0,0,39,38,0
12,5,11164,5,12,0,11,0,4,1,0,0,69,38,1
6,3,17594,3,9,2,6,1,4,1,0,0,39,38,0
62,3,7580,3,9,0,9,2,4,1,0,0,19,38,0
10,3,17816,2,8,2,7,3,4,1,0,0,39,25,0
23,3,676,3,11,0,0,0,4,1,0,0,39,38,0
50,3,17690,4,5,0,9,0,4,1,0,0,1,38,0
1,3,23823,4,6,2,7,3,4,0,0,0,21,38,0
14,1,7688,4,3,0,4,0,4,1,0,0,39,38,0
1,3,27157,2,8,2,11,1,4,1,0,0,29,38,0
35,3,22274,5,12,0,7,0,4,1,0,0,39,4,0
29,3,2009,2,8,0,7,5,4,0,0,0,39,38,0
42,3,10914,2,8,0,11,0,4,1,0,0,47,38,0
27,3,25097,2,8,1,2,1,4,0,109,0,39,38,1
36,3,25200,2,8,1,11,3,4,0,0,0,34,38,0
32,1,21809,2,8,0,10,0,4,1,0,0,39,38,1
16,3,16534,1,13,0,9,0,4,1,0,0,49,38,0
13,3,2197,4,4,2,11,1,4,1,0,0,39,38,0
26,0,26730,0,15,2,9,1,4,0,0,0,49,38,1
40,3,20696,3,10,0,9,0,4,1,0,0,39,38,0
20,3,22796,3,9,1,2,4,4,0,0,0,39,38,0
11,3,17672,3,9,1,6,4,2,0,0,0,24,38,0
13,3,6872,2,8,0,11,5,1,0,0,24,34,38,0
17,1,18894,5,12,0,10,0,4,1,0,0,39,38,1
12,1,6618,3,9,2,5,1,4,1,0,0,49,38,0
31,5,15066,0,15,0,9,0,4,1,0,51,59,38,1
20,3,16608,3,9,0,11,0,4,1,0,0,47,38,1
31,3,12231,3,11,1,3,4,4,0,0,0,39,8,0
15,0,20662,2,8,2,7,3,2,1,0,0,39,38,0
59,3,7536,1,13,0,3,0,4,1,0,0,39,38,1
27,3,16031,5,12,0,3,0,4,1,111,0,59,38,1
30,5,9832,1,13,2,9,1,4,0,0,0,49,38,0
3,3,14654,3,9,2,12,3,4,0,0,0,39,38,0
12,3,5281,2,8,2,2,1,4,1,0,0,39,38,0
15,4,24143,2,8,0,2,0,4,1,97,0,39,38,1
0,3,23619,4,5,2,9,3,4,0,119,0,31,38,0
13,3,15555,4,6,2,5,3,4,1,0,0,39,38,0
14,1,14802,2,8,2,0,1,4,0,0,0,39,38,0
25,3,7578,2,8,0,5,0,4,1,0,0,39,38,0
7,3,27007,5,12,2,11,2,4,1,0,0,39,38,0
21,3,2747,3,14,0,9,0,4,1,0,0,39,38,1
39,5,24774,2,8,0,7,0,4,1,0,50,49,1,1
11,3,26097,3,9,0,11,5,4,0,68,0,24,38,0
19,3,5222,2,8,2,6,3,4,0,0,0,39,38,0
36,3,4515,4,4,0,5,0,4,1,0,0,49,38,0
39,4,23527,3,9,0,11,0,4,1,0,0,49,38,0
32,1,15888,3,10,0,2,0,2,1,0,0,39,38,1
38,3,20530,3,9,0,11,0,4,1,0,0,55,38,0
5,3,5203,2,8,2,2,1,4,1,0,0,40,38,0
4,3,16261,3,9,2,7,3,4,0,0,0,39,38,0
23,3,7007,5,12,0,3,0,4,1,0,0,59,38,0
13,3,3353,5,12,2,3,3,2,1,0,0,39,10,0
12,6,21795,5,12,0,9,0,4,1,0,0,49,38,1
2,3,23463,3,9,2,7,3,2,1,0,0,34,38,0
30,3,22850,5,12,0,3,5,4,0,0,0,39,38,1
3,3,6180,3,9,2,0,3,4,0,0,36,27,38,0
14,3,6541,3,11,0,0,0,4,1,0,0,39,38,1
18,3,8004,2,8,0,9,0,4,1,0,0,39,38,0
22,3,25777,3,9,1,2,1,4,1,0,0,39,38,0
11,3,2966,3,11,2,11,1,4,0,0,0,59,38,0
7,3,1499,2,8,2,7,1,4,0,0,43,39,38,0
21,5,7217,2,8,0,2,0,4,1,70,0,34,38,0
20,3,20937,5,12,0,11,0,4,1,0,0,49,38,0
29,3,9560,3,11,1,12,1,2,0,0,0,35,38,0
21,0,7690,1,13,0,9,0,4,1,0,0,39,19,1
26,5,2364,2,8,0,2,0,4,1,0,0,59,38,0
10,3,11269,3,10,0,0,5,4,0,0,0,34,38,0
3,3,900,3,9,2,11,3,4,1,0,0,19,38,0
32,3,3614,3,9,0,2,0,1,1,0,0,39,38,1
44,4,2808,2,8,0,2,0,4,1,0,0,39,38,0
